old_commit	old_tree	new_commit	author_date	subject
a4533fedd078fd4910aca1e93fb28b08e3d1d029	cd944177acf008687e7f65fcdeae53e7317a0a27	4a7ed39e630f4e925d714d304d412858a93d2040	2026-07-28T02:56:41-07:00	Add the Kilix terminal utilities in one repository
1a222442a2b6b37ae4c642d05ddc234660769f2d	bb8eb54348604c759cd09da7bbec81ebe3ea0d9b	685d284dd663e6140ff2270497b7f370c8a9b575	2026-07-28T18:14:53-07:00	Add kilix-rollout-resume: recover Claude Code, Codex, and Kimi Code sessions
4cbd3a892f77daea77dd4cbb6f91dc0c530cb2e3	8cbcc5f2a1ea5e789c104d690d0a52cd77f318a4	b134ea6b99dcfab5ac277a002e717fd1218e6123	2026-07-28T18:26:57-07:00	Add a YOLO launch option to kilix-rollout-resume
c7763702582293cb606d7978bc14955e6a0b5120	eeea48dcee601d6d8fb0c30c6bf03e3eb52a5309	76fefa0c681cf98c9bbfb2b07713d03e2d5d5b12	2026-07-28T23:24:40-07:00	Add kilix-switch, and the panel look it is drawn in
deadf434a6cd97952de41d06ef3523baf58983db	71d54d520a28220df2b1495bc22ad5a8d84eca1f	e9c2e916082dc0b3f4a9b9b29aad381ca1cb60f0	2026-07-28T23:27:27-07:00	Mark the active spine section in text, not only in colour
0d99ec75fce605c4490ab0e593435ad3c3ba99e0	3a6370f2d334309a88ecac51bfa736baab49c582	f94400e52079e3659bd6263364b034239ad04c88	2026-07-29T00:33:29-07:00	Add kilix-tui, the text-native desktop
f82e46ba8c371ad396f3c4d40e6ee67f5fdfdd0f	eaed9b5197d9dea9c4b2badbce9f36c3baa6aeb4	2d79c091e8e622efc8549ea889a12da2dbb1f2e8	2026-07-29T01:05:27-07:00	Offer the XP desktop from the System section
a74e1afea1cba984985d470d6bd1f2518319218c	27b494172c5d837a329754ff7b3a4d145c0ca41a	c2df8ec11b36a4b8079933dd2e9f6cfa3c75800e	2026-07-29T02:22:59-07:00	Dress the desktop in Tango, in pixels where the terminal can carry them
ac4de83739fc4d75d7043f773a81ccdb028e8e74	8a15794ca8029f782aac153172005505986167de	c73e45d8ccb01282ca0b05e69ca1325196b02aae	2026-07-29T02:47:20-07:00	Give the desktop focus navigation, a mouse, and more of Kilix to hold
c80f607e9ec20153c5c559be6475e238368cd442	1b72dc1ebaa77ae382f463a057086763726f3138	0bb87476dd5de2942bd9dc3cfeb498b0a97025c5	2026-07-29T15:43:56-07:00	Consolidate Temps, Memory, and rollout recovery
fa62c00fb7a83c33a2e97027dadde0e6c1e0e956	ddd822befb8a0584c8c574512f3cab8b2986991c	0696315bb59ec6bfc8243c7ae03b28d19642605e	2026-07-30T01:37:44-07:00	Complete rollout-resume feature parity
8d0c412d287ede8b4d59ca208299983ae03179fd	af87a2a601274aa16f9516eab32fbb7b663251ec	55405531d4b86c1b0d32003df63f40ffd3c59ba7	2026-07-30T13:08:26-07:00	Unify Kilix TUIs and add VirtualBox manager
5b1e9554ae6476f358f084063039c047e89a2737	0d8f74d254fa40d445210824c56ea4fcc1c7e695	0a9eeeb5d64b7177fbc7b0575b141bc0ea46a2d6	2026-07-30T13:50:24-07:00	Use grouped module and desktop sources
9093dd8d0918c1549fdc4711d8b78d5668023db0	079b9d3cb2f5d0269815d4d6770c872bf6144e15	b29b635d775b1a74ee87940860c84fd1a7f32800	2026-08-03T15:07:20-07:00	Document the socket-mode remote control contract
f0331c657e65ad352c2c078873b263a8138f6d70	b5ff1983aa91eb00b31262630d3ee42fbbdf7455	cab793eb6c3792ceb36ba6d53bd9f399b0bd0aca	2026-08-03T16:02:45-07:00	Correct the rollout-resume tb note and document agent management
23626fcd566d3fab7264b2425debd3f6be763a54	703791e1e740fb76e4e42da6c642d109bb3be062	4a3276c478faaa55bc1b85586afea5f52637bcb1	2026-08-03T22:39:27-07:00	Find the source workspace instead of trusting one variable
48bc78026cc93df1d86176545e3805ac4825c902	cd0e436df7ff0becd80ebf81888424c54a38a1f4	2f1acaf2b992e1472b9c030642d1d10d883f78a8	2026-08-03T22:54:25-07:00	Drive the kilix-amp backend now that it ships
38f17be116c122644e8561bc7429c90f3673b140	81891af4d24ab70efe01a0e1b0992a266eb175e1	c513a1ccb0ae13cc569cf25fd8d09d29e71ba53e	2026-08-03T22:59:21-07:00	Navigate the desktop as places, with one cursor and a trail
984fc11658d385a83f2c5a44fafeb97660129bba	bdb8273b77cb49eeb7c32f86ffe51006872da17a	ed840c520860ab7e53a0610e795d3b49f93b97d1	2026-08-03T23:10:03-07:00	Show track position as a clock, not as an uptime
3034cb5f36a643c15484f56d621b041e58124d5f	aa47e19676e1d82ef19e9855900204b10a80d653	f565827845e58a70222dd87fb58577046e664038	2026-08-04T00:49:42-07:00	Give every tool the same keys, help and tips from one place
9ca37404f1034891bcf1bafcfe30c747d8f55820	de698ca57673c952a2f91aea1390bb184173f146	4ace9e579b0e1a7f361ca714b67515ea922dbed6	2026-08-04T00:57:40-07:00	Build the player on activation instead of explaining it is missing
676e484c3d5b89e1e9be78239a852df16d835ae8	e2b36681f0f0500d55c0946fa7425cfd17577fe0	d32bb69c30d70e3e336efa38de45d248702a4f05	2026-08-04T01:43:22-07:00	Drive the whole of kilix-amp, not just its transport
372559fadf47eab2dbfd19adcc034fdedcacacdc	abb53571c587cf2d5a278c2d928a661a502199d4	eeea06683e15c44845e97f2072d7cd0446b2bbc5	2026-08-04T01:56:56-07:00	List the text browser beside the web browser
612f0cba1a953306699cbb549c851a367b1191bf	0107240f4cd1eb351f212fc1345f9b0f66170908	dd64aae718b86a9f8a5ea2bcf0d86b3755e66151	2026-08-04T02:57:24-07:00	Put the same / filter on every browsable list
af1792024fd13785cd11b54667778a22af8084d2	434f7ef67e7f9d902660c1b67928264d8419ac10	2999d8648ad972720094bb44a2e997a047ba12c1	2026-08-04T14:15:08-07:00	README: embed the series episode (media release)
5a29bd707ca16155869eeb2764276d5dc4afb21f	3a9e8a72bccf92ec51b41137a6a28870565f10c8	3edd1d3f2ec1da5706257e93b091af4c2992da88	2026-08-04T17:48:50-07:00	Reach the whole installable list from the desktop
1df47574252ff7b1ad3a4b841cc3c52164012d6d	988bb5278b7fb19006c2049e322028bef24e008e	9f9e9d72d57e99559b0f6e221e1fc5ab9d3fdb82	2026-08-04T18:39:09-07:00	Stop the help key from pushing quit off the end of the line
